"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,Interpretação,Mestrado,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,"Sintra, ABRATES, candidata à APIC",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior",português e espanhol,inglês,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, Wordfast","Sim, DeepL.",Uso quando estou com pouco tempo.,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,Interpretação,Mestrado,"Sim, fiz bacharelado em tradução., Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior",alemão,holandês,Faço versão para outro(s) idioma(s).,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados",Não.,Nao uso,feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Não,"Ensino de tradução e/ou interpretação, Revisão e/ou copydesque, Interpretação",Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em letras com discplina(s) de tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, jurídicos, setor cultural, acadêmicos - humanas e artes, documentos oficiais (certidões, diplomas, históricos escolares, etc.), audiovisual (legendagem, dublagem)",Raramente ou nunca,trabalha na mesma empresa/agência que você.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Sim, Wordfast",Não.,,feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,Interpretação,Ensino superior.,Não fiz.,Sim,Não,ABRATES,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, Wordfast",Não.,Uso para certos tipos de texto.,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Aposentadoria,Ensino superior.,Não fiz.,Sim,Sim,"ABRATES, ATA, ATPP (Tradutores Juramentados do Paraná)",Sim,Sim,tradutor/a juramentado/a,"Cliente direto, Agência de tradução do exterior",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).,"corporativos / business, jurídicos, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Sempre ou quase sempre,é nativa do inglês e conhece bem o português.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,"Sim, MemoQ, Sim,  OmegaT, CafeTran","Sim, Google Tradutor.",Uso quando estou com pouco tempo.,feminino,66 ou mais,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Sim,,Ensino superior.,Não fiz.,Não,Não,"Sintra, ABRATES",Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",alemão,português,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados",Não.,,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,ABRATES,Sim,Não,"tradutor/a autônomo/a com CNPJ., tradutor/a autônomo/a sem CNPJ.","Cliente direto, Agência de tradução do exterior, Editora",português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor.",Uso para certos tipos de texto.,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,Ensino de línguas,Mestrado,"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Mais da metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço.","corporativos / business, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes",Raramente ou nunca,,Discordo parcialmente.,Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Não uso., Sim, Wordfast","Não., Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,masculino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Ensino de línguas,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"ABRATES, ProZ.com",Sim,Não,tradutor/a autônomo/a sem CNPJ.,Agência de tradução do exterior,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,Aceito porque faço melhor a tradução para o inglês que para o português.,todos,Raramente ou nunca,"trabalha na mesma empresa/agência que você., é nativa do inglês mas não conhece (bem) o português., é nativa do inglês e conhece bem o português., é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução., é estrangeira especializada no assunto da tradução.","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, SDL Trados","Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto.",masculino,46 a 55 anos,preta,Brasil
"""Sou tradutor/a"".",de 1 a 3 anos,Sim,,Ensino superior.,Não fiz.,Sim,Não,ABRATES,Sim,Sim,funcionário/a de uma empresa não especializada em tradução.,Empresa onde sou funcionário/a,português,japonês,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, Wordfast",Não.,,masculino,26 a 35 anos,amarela,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,"Ensino de tradução e/ou interpretação, Interpretação",Mestrado,"Sim, fiz curso livre ou de extensão em tradução., Fiz mestrado em Formação de Intérpretes que, no aspecto didático, também se aplica ao ensino de tradução.",Sim,Sim,"Sintra, ABRATES",Não,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a",Cliente direto,português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,Aceito se estiver dentro do estreito de escopo de textos que eu aceito para versão porque já tenho experiência suficiente com o formato para fazer um bom trabalho.,"documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Menos da metade do tempo,,Concorda plenamente.,Discordo parcialmente.,Não tenho interesse em fazer curso de versão.,Não uso.,Não.,,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Não,Não,ABRATES,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução do exterior",português,espanhol,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, Wordfast",Não.,,feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,"Interpretação, treinamento intercultural",Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"ABRATES, BDÜ",Sim,Sim,tradutor/a juramentado/a,"Cliente direto, Agência de tradução do exterior, Plataforma online (sem ser especializada em tradução), Recomendação de colegas",português,alemão,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Sim, MemoQ, Across e outros de clientes","Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,56 a 65 anos,branca,Alemanha/Brasil (tenho residência nos dois países)
Aposentado,de 15 a 20 anos,Não,Aposentadoria,Ensino superior.,Não fiz.,Não,Não,ABRATES,Não,Não,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,Não.,Não uso.,masculino,66 ou mais,prefiro não dizer,Brasil
"""Sou tradutor/a e XXX"".",de 1 a 3 anos,Não,Ensino de línguas,Mestrado,"Sim, fiz mestrado em tradução ou letras com ênfase em tradução., bacharelado em letras com ênfase em tradução",Não,Não,ABRATES,Sim,Não,tradutor/a autônomo/a com CNPJ.,Agência de tradução brasileira,português,francês,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, Wordfast","Sim, Google Tradutor.","Uso quando estou com pouco tempo., dentro do wordfast com edição",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Sim,ABRATES,Não,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a autônomo/a sem CNPJ.",Editora,português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Não uso.,Não.,,feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",de 3 a 5 anos,Sim,legendagem,Ensino superior.,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Sim, MemoQ, Subtitle Edit",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,Redação e edição,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Sim,"ABRATES, ATA",Não,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Editora",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,Aceito se é uma área que já conheço.,corporativos / business,Raramente ou nunca,,"Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, Wordfast, software de tradução proprietário do cliente",Já usei algumas APIs pagas e seguras,"Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso em alguns trabalhos mais extensos e simples para economizar digitação - obviamente com edição posterior.",feminino,prefiro não dizer,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,ABRATES,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior, Editora",português,alemão,Não faço versão.,,,,,,,,"Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Sim, MemoQ, Passolo, Transit",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Interpretação,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,"ABRATES, ATA",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior",português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Evito pegar, não gosto. ","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), audiovisual (legendagem, dublagem)",Raramente ou nunca,"é contratada por você (ou seja, você paga do próprio bolso).",Concorda plenamente.,Discordo totalmente.,Não tenho interesse em fazer curso de versão.,Não uso.,Não.,"Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo.",feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",de 1 a 3 anos,Não,Revisão e/ou copydesque,Mestrado,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,ABRATES,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Plataforma online (sem ser especializada em tradução),português,francês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor., Sim, DeepL.",Uso/Já usei ao traduzir para a língua nativa.,feminino,66 ou mais,parda,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,ABRATES,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Agência de tradução brasileira, Empresa onde sou funcionário/a",espanhol,português,Faço versão para outro(s) idioma(s).,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, MemoQ","Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira.",feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,"Ensino de línguas, Ensino de tradução e/ou interpretação, Interpretação",Doutorado,"Sim, fiz bacharelado em tradução., Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz doutorado em tradução ou letras com ênfase em tradução.",Não,Sim,"Sintra, ABRATES, ABRAPT",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira",italiano,português,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, SDL Trados","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",até 1 ano,Sim,Ensino de línguas,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,"tradutor/a autônomo/a sem CNPJ., funcionário/a de uma empresa não especializada em tradução.","Cliente direto, Empresa onde sou funcionário/a",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a)., Aceito porque gosto de fazer a tradução para o inglês.",todos,Aproximadamente metade do tempo,"trabalha na mesma empresa/agência que você., é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.","Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução., Sim, se o curso fosse apenas prático (sem conteúdo teórico).",Smartcat e Lilt,Não.,Nunca usei,feminino,até 25 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Não,pesquisador tecnologista no INMETRO,Mestrado,"Sim, fiz curso livre ou de extensão em tradução.",Não,Não,ABRATES,Não,Sim,"tradutor/a autônomo/a sem CNPJ., funcionário/a de uma empresa não especializada em tradução.","Cliente direto, Empresa onde sou funcionário/a, Editora",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), setor cultural, informática e telecomunicações, acadêmicos - ciências e exatas, literário",Raramente ou nunca,,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, Wordfast, Sim,  OmegaT","Sim, Microsoft Bing.","Uso/Já usei ao traduzir para a língua nativa., Uso para checar trechos que tive dificuldade de entender.",masculino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,Revisão e/ou copydesque,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Não,Sim,tradutor/a autônomo/a sem CNPJ.,Agência de tradução brasileira,português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","setor produtivo (energia, indústria, agropecuária, etc.), acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Aproximadamente metade do tempo,"é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.",Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Sim, MemoQ","Sim, Google Tradutor., Sim, DeepL.","Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
engº de máquinas,mais de 20 anos,Sim,,Pós-graduação lato sensu (especialização),Não fiz.,Não,Não,"ABRATES, ATPP, Curitiba, Paraná",Sim,Não,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a",Cliente direto,português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), setor cultural, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Concordo parcialmente,"Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor.",Uso quando estou com pouco tempo.,masculino,66 ou mais,prefiro não dizer,Brasil
Revisora,de 1 a 3 anos,Sim,Revisão e/ou copydesque,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Agência de tradução brasileira,português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados, Polyglot, XTM etc.",MT da agência,Uso para checar trechos que tive dificuldade de entender.,feminino,36 a 45 anos,amarela,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Interpretação,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em letras com discplina(s) de tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"ABRATES, ATP MInas",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Editora",espanhol,português,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, Wordfast","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira.",feminino,46 a 55 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,Analista de sistemas,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Editora,português,inglês,Faço versão somente para o inglês.,Raramente,Aceito se é uma área que já conheço.,"informática e telecomunicações, audiovisual (legendagem, dublagem)",Aproximadamente metade do tempo,"trabalha na mesma empresa/agência que você., é nativa do inglês e conhece bem o português.",Concordo parcialmente,Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.",Não uso.,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",masculino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,Ensino de línguas,Mestrado,Não fiz.,Sim,Não,"ABRATES, ATPMG",Sim,Não,"tradutor/a autônomo/a sem CNPJ., tradutor/a juramentado/a",Cliente direto,português,inglês,Faço versão somente para o inglês.,Mais da metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a)., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Discordo totalmente.,Concordo plenamente.,Talvez.,Não uso.,Não.,,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,aposentadoria americana parcial,Ensino superior.,"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Não,Não,ABRATES,Não,Não,tradutor para empresas estrangeiras,Agência de tradução do exterior,português,inglês,Faço versão somente para o inglês.,Raramente,Aceito sempre ou quase sempre.,todos,Raramente ou nunca,trabalha na mesma empresa/agência que você.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,"Sim, Wordfast",Não.,,masculino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 1 a 3 anos,Sim,,Ensino médio,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,"Sintra, ABRATES",Sim,Não,tradutor/a autônomo/a sem CNPJ.,Agência de tradução do exterior,português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.",médico,Raramente ou nunca,,"Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso fosse presencial (depois da pandemia).","Sim, MemoQ",Não.,,masculino,até 25 anos,branca,Brasil
Sou professora de francês,até 1 ano,Não,Ensino de línguas,Pós-graduação lato sensu (especialização),Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,Professora autônoma,Cliente direto,português,francês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Smartcat,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,Bolsa de pesquisa,Ensino médio,"Sim, fiz bacharelado em tradução., Bacharelado em tradução em andamento",Não,Sim,ABRAPT,Não,Sim,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,Aceito sempre ou quase sempre.,"acadêmicos - humanas e artes, acadêmicos - ciências e exatas",Raramente ou nunca,,"Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, Memsource","Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender., Uso para comparar minha tradução com a automática quando estou insegura e, se pertinente, adequar a minha. ",feminino,até 25 anos,branca,Brasil
